Run,MSR_cumm,MSR_window
2023-02-05,1.69,1.69
2023-02-12,1.62,1.64
2023-02-19,1.74,1.7
2023-02-26,1.68,1.68
2023-03-05,1.91,2.08
2023-03-12,1.87,2.05
2023-03-19,1.82,2.05
2023-03-26,1.78,2.05
2023-04-02,1.8,1.98
2023-04-09,1.79,2.02
2023-04-16,1.82,1.77
2023-04-23,1.8,1.78
2023-04-30,1.95,2.25
2023-05-07,1.93,2.34
2023-05-14,2.05,2.78
2023-05-21,2.02,2.75
2023-05-28,2,2.6
2023-06-04,2.03,2.83
2023-06-11,2.07,2.46
2023-06-18,2.04,2.45
2023-06-25,2.09,2.33
2023-07-02,2.11,2.61
2023-07-09,2.09,2.57
2023-07-16,2.2,2.54
2023-07-23,2.21,2.55
2023-07-30,2.25,2.59
2023-08-06,2.37,2.9
2023-08-13,2.38,1.76
2023-08-20,2.35,1.93
2023-08-27,2.32,1.99
2023-09-03,2.3,2.02
2023-09-10,2.27,1.98
2023-09-17,2.26,1.47
2023-09-24,2.26,1.42
2023-10-01,2.25,1.31
