Run,MSR_cumm,MSR_window
2023-02-05,3.31,3.31
2023-02-12,3.28,3.57
2023-02-19,3.28,3.82
2023-02-26,3.28,3.36
2023-03-05,3.24,3.48
2023-03-12,3.1,2.79
2023-03-19,3.08,2.9
2023-03-26,3.21,3.12
2023-04-02,3.19,2.85
2023-04-09,3.23,2.81
2023-04-16,3.12,2.55
2023-04-23,3.06,2.48
2023-04-30,3.07,2.74
2023-05-07,2.97,2.39
2023-05-14,3.03,2.75
2023-05-21,3.01,2.54
2023-05-28,2.97,2.55
2023-06-04,3.01,2.97
2023-06-11,3,2.84
2023-06-18,2.98,3.01
2023-06-25,3.01,2.91
2023-07-02,2.95,2.84
2023-07-09,3,3.12
2023-07-16,2.95,2.84
2023-07-23,2.93,2.75
2023-07-30,2.95,2.95
2023-08-06,2.94,2.79
2023-08-13,2.94,2.94
2023-08-20,2.9,2.48
2023-08-27,2.89,2.47
2023-09-03,2.87,2.16
2023-09-10,2.82,1.87
2023-09-17,2.78,1.8
2023-09-24,2.81,2.14
2023-10-01,2.79,2.18
