Run,Data
9/5/2025,23.67
9/5/2025,23.32
9/5/2025,22.87
9/5/2025,22.91
9/5/2025,22.27
9/5/2025,21.3
9/5/2025,21.95
9/5/2025,21.25
9/5/2025,21.36
9/5/2025,20.49
9/12/2025,24.17
9/12/2025,23.17
9/12/2025,23.08
9/12/2025,23.89
9/12/2025,35.91
9/12/2025,20.95
9/12/2025,23.65
9/12/2025,23.41
9/12/2025,24.54
9/12/2025,25.84
12/19/2025,10.14
12/19/2025,10.46
12/19/2025,10.63
12/19/2025,9.11
12/19/2025,10.96
12/19/2025,11.84
12/19/2025,11.09
12/19/2025,11.4
12/19/2025,12.61
12/19/2025,29.42
12/31/2025,17.55
12/31/2025,14.54
12/31/2025,15.61
12/31/2025,14.83
12/31/2025,17.64
12/31/2025,16.68
12/31/2025,16.3
12/31/2025,16.92
12/31/2025,20.76
12/31/2025,19.31
